,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
174,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
175,Sudan,6,+1,1.0,,,5,,0.1,0.02,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
176,Benin,6,,,,,6,,0.5,,Mar 15,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
177,Vatican City,6,,,,,6,,7491.0,,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
178,Sint Maarten,6,,,,,6,,140.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
179,Nepal,5,,,,1.0,4,,0.2,,Jan 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
180,Fiji,5,,,,,5,,6.0,,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
181,Mauritania,5,,,,2.0,3,,1.0,,Mar 12,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
182,Montserrat,5,,,,,5,,1002.0,,Mar 17,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
183,St. Barth,5,,,,,5,,506.0,,Feb 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
184,Gambia,4,+1,1.0,,,3,,2.0,0.4,Mar 16,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
185,Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
186,Bhutan,4,+1,,,,4,,5.0,,Mar 05,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
187,Turks and Caicos,4,,,,,4,,103.0,,Mar 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
188,CAR,3,,,,,3,,0.6,,Mar 14,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
189,Chad,3,,,,,3,,0.2,,Mar 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
190,Liberia,3,,,,,3,,0.6,,Mar 15,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
191,Somalia,3,,,,,3,,0.2,,Mar 15,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
192,MS Zaandam,2,,,,,2,,,,Mar 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
193,Anguilla,2,,,,,2,,133.0,,Mar 25,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
194,Belize,2,,,,,2,,5.0,,Mar 22,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
195,British Virgin Islands,2,,,,,2,,66.0,,Mar 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
196,Guinea-Bissau,2,,,,,2,,1.0,,Mar 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
197,Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
198,Papua New Guinea,1,,,,,1,,0.1,,Mar 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
199,St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
200,Timor-Leste,1,,,,,1,,0.8,,Mar 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
201,Total:,723390,"+60,308",34065.0,"+3,209",151312.0,538013,26789.0,92.8,4.4,,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
